,day,month,days,is_it_job,seniority,company_code,country_code
12090,6,10,3.0,0,4.0,131,52
12091,5,9,33.0,0,3.0,131,39
12092,23,9,16.0,0,1.0,131,16
12093,15,9,23.0,1,4.0,131,116
12094,1,8,69.0,0,4.0,131,116
12096,18,8,52.0,0,3.0,131,116
12097,8,9,30.0,1,2.0,131,34
12098,13,8,56.0,0,2.0,101,116
12099,23,9,16.0,0,3.0,101,116
12100,27,8,42.0,0,3.0,101,116
12101,12,9,27.0,0,2.0,101,8
12102,29,8,41.0,0,3.0,101,116
12103,29,9,10.0,1,3.0,101,116
12104,20,8,49.0,1,2.0,101,116
12105,19,8,51.0,0,1.0,101,116
12106,10,8,59.0,1,3.0,101,116
12107,11,9,27.0,0,3.0,101,40
12108,10,8,59.0,0,3.0,101,116
12109,13,8,56.0,0,2.0,101,116
12110,3,9,36.0,0,3.0,101,116
12111,25,9,14.0,0,3.0,101,116
12112,10,8,59.0,1,3.0,101,116
12113,18,9,21.0,0,3.0,101,116
12114,8,8,62.0,1,3.0,101,116
12115,10,8,59.0,0,3.0,101,116
12116,27,8,42.0,0,2.0,101,116
12117,19,8,51.0,0,2.0,101,103
12118,13,8,56.0,1,2.0,101,116
12119,2,10,7.0,0,3.0,101,5
12120,2,10,7.0,1,2.0,101,116
12121,1,10,8.0,1,2.0,101,116
12122,30,9,9.0,1,1.0,101,116
12123,11,9,27.0,0,2.0,101,116
12124,13,8,56.0,0,2.0,101,116
12125,24,9,15.0,1,3.0,101,116
12126,7,10,2.0,0,2.0,101,116
12127,7,10,2.0,0,3.0,101,39
12128,6,10,3.0,1,3.0,101,116
12129,21,9,17.0,0,2.0,101,84
12130,24,7,77.0,0,3.0,101,116
12131,30,9,9.0,0,2.0,101,116
12132,31,8,38.0,0,3.0,101,116
12133,5,10,4.0,1,1.0,101,52
12134,29,8,41.0,0,3.0,101,116
12138,7,10,1.0,0,3.0,101,22
12139,6,10,3.0,0,2.0,101,56
12140,19,8,51.0,0,3.0,101,116
12141,3,10,6.0,0,3.0,101,116
12142,8,10,1.0,1,2.0,39,77
12155,7,10,2.0,0,3.0,39,116
12158,8,10,1.0,0,4.0,39,116
12159,8,10,1.0,1,2.0,39,77
12160,8,10,1.0,1,2.0,39,77
12161,8,10,1.0,1,2.0,39,77
12162,8,10,1.0,1,2.0,39,77
12163,8,10,1.0,1,2.0,39,77
12164,8,10,1.0,1,2.0,39,77
12165,8,10,1.0,1,2.0,39,77
12168,7,10,2.0,1,2.0,39,52
12170,8,10,1.0,1,3.0,39,52
12176,8,10,1.0,0,3.0,39,116
12177,8,10,1.0,0,4.0,39,116
12181,7,10,2.0,0,4.0,39,116
12182,7,10,2.0,0,3.0,39,116
12183,25,9,14.0,0,3.0,101,116
12184,24,7,77.0,0,3.0,59,50
12185,24,7,77.0,0,4.0,59,103
12186,24,7,77.0,0,4.0,59,103
12187,3,8,66.0,1,3.0,59,92
12188,30,7,71.0,0,2.0,59,92
12189,14,9,24.0,0,3.0,59,13
12190,24,7,77.0,0,3.0,59,103
12191,24,7,77.0,0,3.0,59,103
12192,1,9,38.0,0,2.0,59,21
12193,24,7,76.0,1,3.0,59,13
12194,24,7,77.0,0,3.0,59,21
12195,24,7,77.0,0,3.0,59,39
12196,11,8,59.0,0,4.0,59,13
12197,24,7,77.0,0,2.0,59,21
12198,1,10,8.0,1,2.0,59,13
12199,26,9,13.0,0,2.0,59,92
12201,24,7,77.0,1,3.0,59,13
12202,8,10,1.0,1,3.0,59,92
12203,24,7,77.0,0,2.0,59,38
12204,7,10,2.0,0,3.0,59,13
12205,11,9,27.0,1,2.0,70,34
12206,15,8,55.0,1,2.0,70,34
12207,1,10,8.0,0,3.0,165,116
12208,3,10,6.0,0,2.0,165,122
12209,31,7,69.0,1,3.0,165,122
12210,30,9,9.0,1,2.0,165,3
12211,30,9,9.0,0,4.0,165,3
12212,2,10,7.0,0,2.0,165,122
12213,30,9,9.0,1,3.0,165,39
12214,30,9,9.0,0,3.0,165,116
12215,8,10,1.0,0,3.0,165,116
12216,30,9,9.0,0,4.0,165,98
12217,8,10,1.0,0,4.0,165,116
12218,10,9,29.0,1,3.0,165,33
12221,5,10,4.0,0,4.0,165,116
12222,30,9,9.0,0,2.0,165,39
12237,8,10,1.0,0,3.0,165,3
12238,3,10,6.0,0,2.0,165,122
12239,2,10,7.0,1,3.0,165,122
12240,30,9,9.0,0,2.0,165,39
12241,30,9,9.0,0,4.0,165,39
12242,30,9,9.0,1,3.0,165,98
12243,30,9,9.0,1,3.0,165,3
12244,24,9,15.0,1,2.0,60,55
12245,11,9,27.0,1,2.0,0,27
12246,13,8,56.0,0,2.0,34,34
12247,24,9,14.0,0,3.0,34,27
12248,7,8,63.0,0,2.0,168,16
12249,18,9,20.0,0,3.0,149,116
12250,24,9,14.0,1,3.0,126,17
12251,6,10,3.0,0,2.0,10,34
12257,1,10,7.0,1,2.0,10,84
12258,3,10,6.0,0,3.0,10,27
12259,3,10,6.0,0,3.0,10,84
12260,24,9,15.0,0,2.0,10,102
12261,18,8,52.0,0,2.0,130,39
12262,18,8,52.0,0,2.0,130,39
12263,18,9,21.0,1,2.0,130,69
12264,1,7,100.0,0,4.0,140,116
12265,18,9,21.0,1,2.0,140,52
12266,1,7,100.0,1,2.0,140,52
12267,16,9,23.0,0,3.0,140,116
12269,25,6,105.0,1,2.0,140,52
